	PD_whole_tree	chao1	observed_otus
E3.19.Sym.sp.1.20150127.M	18.44315	208.25	122.0
E7.17.Cyp.micr.2.20150621.M	18.93795	134.4	97.0
E3.6.Acr.hyac.3.20150123.M	30.92375	444.65625	214.0
E10.Acr.pali.3.20150627.M	10.9676	220.125	85.0
E1.11.Fun.sp.1.20140811.T	13.05459	146.0	68.0
E3.6.Acr.hyac.2.20150123.M	21.25702	204.0	135.0
E7.6.Acr.hyac.2.20150622.M	12.03536	237.5	71.0
E3.15.Dip.heli.2.20150123.M	17.84226	226.75	103.0
E1.15.Dip.heli.1.20140726.M	32.73949	300.473684211	177.0
E1.3.Por.loba.1.20140724.T	13.3077	71.0	41.0
E3.10.Sty.pist.1.20150127.M	31.07374	418.2	215.0
E3.15.Dip.heli.4.20150105.M	5.38533	136.0	49.0
E1.19.Sym.sp.1.20140815.M	18.23395	282.5	105.0
E1.3.Por.cyli.1.20140801.M	8.07647	111.333333333	27.0
E7.6.Mon.aequ.3.20150620.T	20.62899	157.055555556	118.0
E3.7.Pav.vari.1.20150127.M	18.68042	183.230769231	138.0
E3.15.Dip.heli.1.20150106.M	16.93028	172.0	87.0
E10.17.Gon.favu.1.20150629.M	22.56235	189.6875	110.0
E10.17.Mon.curt.3.20150629.T	14.50123	195.333333333	70.0
E7.6.Mon.aequ.1.20150620.M	7.78482	215.5	93.0
E3.6.Acr.hyac.1.20150118.S	3.53826	27.0	20.0
E3.6.Acr.hyac.3.20150120.T	7.1002	189.5	66.0
E7.17.Fav.spB.1.20150623.M	12.80354	226.0	71.0
E7.17.Pla.sine.3.20150622.M	17.19722	173.352941176	107.0
E7.17.Fav.abdi.2.20150623.T	13.47254	85.2	39.0
E7.10.Poc.dami.2.20150621.S	19.56109	240.25	134.0
E10.Poc.dami.2.20150628.S	19.00486	275.454545455	156.0
E7.17.Fav.spA.2.20150623.T	12.23896	237.5	62.0
E1.3.Por.cyli.1.20140801.T	10.86618	107.2	37.0
E3.14.Phy.lich.1.20150125.M	22.88531	365.954545455	163.0
E1.4.Pac.spec.1.20140801.S	21.58295	177.076923077	123.0
E1.6.Mon.hisp.1.20140807.M	8.32395	83.0	32.0
E7.17.Ech.lame.2.20150620.M	7.34945	181.0	62.0
E1.7.Pav.veno.1.20140809.T	21.82577	167.111111111	101.0
E10.Poc.dami.1.20150628.S	16.71255	184.058823529	112.0
E7.17.Ech.lame.1.20150620.S	30.02657	312.222222222	180.0
E10.Por.hero.1.20150628.S	26.25166	220.555555556	135.0
E10.Ser.cali.1.20150627.S	16.77673	176.055555556	108.0
E7.17.Cyp.micr.3.20150621.S	9.55889	176.0	57.0
E7.17.Pla.sine.2.20150622.T	19.18278	252.214285714	99.0
E7.3.Por.loba.3.20150619.S	20.55547	221.357142857	140.0
E7.17.Mer.ampl.3.20150621.S	22.02233	205.5	78.0
E3.15.Dip.heli.3.20150121.T	26.7362	207.0	148.0
E1.10.Sty.pist.1.20140815.T	5.01001	108.6	59.0
E3.15.Dip.heli.2.20150123.T	29.11459	310.4	163.0
E7.7.Pav.vari.1.20150623.M	3.12558	51.3333333333	21.0
E10.Aca.hill.3.20150629.S	17.84405	209.857142857	104.0
E10.Por.hero.3.20150628.S	27.94667	391.038461538	189.0
E1.6.Acr.sp.1.20140905.M	7.06401	129.111111111	74.0
E3.15.Dip.heli.1.20150120.T	42.49888	308.181818182	200.0
E10.Acr.cyth.1.20150627.S	5.49703	77.1111111111	49.0
E3.6.Acr.hyac.3.20150105.S	6.73661	186.5	84.0
E7.10.Ser.cali.2.20150622.M	11.9457	174.625	82.0
E10.Acr.cyth.2.20150627.M	22.97198	235.0	137.0
E7.6.Mon.aequ.2.20150620.M	14.88529	167.0	89.0
E7.17.Ech.lame.1.20150620.M	26.49275	242.666666667	148.0
E1.19.Lob.sp.1.20140809.M	25.78981	227.294117647	150.0
E1.10.Sty.pist.1.20140815.S	12.91397	139.6	73.0
E3.Out.Mil.sp.1.20150125.S	13.54998	317.5	103.0
E1.Out.Mil.sp.1.20140814.T	17.50294	214.260869565	121.0
E3.6.Acr.hyac.2.20150121.M	13.15221	132.5	90.0
E7.7.Pav.vari.1.20150622.M	20.24274	258.666666667	117.0
E7.6.Mon.aequ.3.20150620.M	9.06551	242.333333333	95.0
E7.10.Ser.cali.2.20150622.S	11.50853	163.25	88.0
E3.11.Fun.sp.2.20150125.T	24.01869	299.217391304	144.0
E3.6.Acr.hyac.2.20150121.T	33.25979	300.125	175.0
E7.17.Mer.ampl.1.20150621.M	21.87534	257.1	114.0
E7.6.Acr.hyac.1.20150622.S	7.9698	127.5	55.0
E7.17.Cyp.micr.1.20150621.M	25.4336	241.043478261	142.0
E3.11.Fun.sp.1.20150125.M	23.81111	241.275862069	158.0
E1.17.Ech.lame.1.20140905.T	10.96194	113.555555556	91.0
E3.10.Sty.pist.1.20150124.S	10.09056	66.3333333333	43.0
E3.15.Dip.heli.1.20150119.M	10.46011	169.625	77.0
E3.6.Acr.hyac.1.20150123.S	9.43108	131.0	68.0
E7.17.Mer.ampl.1.20150621.S	20.55535	301.142857143	89.0
E1.19.Sym.sp.1.20140815.T	9.36015	227.0	86.0
E1.6.Acr.humi.1.20140731.S	8.17235	128.6	53.0
E10.17.Fav.pali.1.20150630.S	14.98719	254.0	89.0
E7.17.Ech.lame.1.20150620.T	8.6312	152.0	64.0
E3.2.Tur.reni.2.20150124.M	12.08398	198.0	79.0
E3.17.Ech.mamm.1.20150123.M	29.10968	337.303030303	202.0
E7.17.Pla.sine.1.20150622.S	13.72831	343.857142857	91.0
E3.2.Tur.reni.1.20150124.T	28.00307	285.666666667	147.0
E3.17.Ech.horr.1.20150123.T	20.3998	219.076923077	109.0
E3.3.Por.cyli.2.20150123.T	19.93759	185.0	86.0
E3.Out.Mil.sp.1.20150125.T	14.48282	163.666666667	68.0
E3.6.Acr.hyac.3.20150121.S	10.03133	280.0	75.0
E3.11.Fun.sp.1.20150127.S	18.45001	141.333333333	79.0
E1.6.Mon.hisp.1.20140807.T	3.90177	29.0	17.0
Negative.Control.4	4.89345	106.25	43.0
E3.6.Acr.hyac.2.20150105.M	12.17455	105.428571429	59.0
E10.Aca.hill.3.20150629.M	17.17375	282.0	94.0
E7.17.Fav.spA.1.20150623.T	9.76943	126.5	41.0
E10.Ser.cali.2.20150627.S	19.68676	232.272727273	107.0
E10.17.Gon.favu.1.20150630.M	7.89722	82.5	54.0
E7.6.Mon.aequ.3.20150620.S	6.98637	113.333333333	65.0
E3.6.Acr.hyac.2.20150106.M	10.54454	405.0	54.0
E7.17.Pla.sine.3.20150622.S	8.99708	123.428571429	57.0
E1.Out.Mil.sp.1.20140731.M	7.82439	77.3333333333	44.0
E1.Out.Mil.sp.1.20140731.S	21.39683	519.142857143	112.0
E3.Out.Pal.caes.1.20150125.S	46.14787	473.365384615	302.0
E1.15.Dip.heli.1.20140809.M	41.51852	335.0	230.0
E3.3.Por.cyli.2.20150123.S	9.18473	79.5	42.0
E7.17.Mer.ampl.3.20150621.T	14.92145	118.461538462	70.0
E1.4.Pac.rugo.1.20140814.T	7.51694	152.5	37.0
E3.15.Dip.heli.1.20150118.T	21.53985	233.913043478	149.0
E7.5.Gal.astr.1.20150622.M	12.80778	214.2	81.0
E3.6.Acr.hyac.3.20150105.M	20.08621	208.666666667	127.0
E3.6.Acr.hyac.2.20150120.M	7.15266	77.0	47.0
E7.6.Acr.hyac.3.20150622.M	11.97286	265.25	80.0
E10.Ser.cali.3.20150627.M	24.47477	236.235294118	139.0
E3.19.Sym.sp.1.20150125.S	12.04051	240.0	72.0
E1.7.Pav.vari.1.20140815.M	32.15932	367.0	208.0
E3.17.Ech.mamm.1.20150129.M	25.84594	280.088235294	180.0
E10.Por.hero.3.20150628.T	8.66571	146.5	31.0
E1.6.Iso.pali.1.20140815.T	21.75197	181.6875	117.0
E7.17.Hyd.exes.2.20150622.T	12.61538	187.25	81.0
E1.7.Pav.sp.1.20140905.M	10.4453	117.111111111	81.0
E10.Por.hero.2.20150628.S	17.29892	170.333333333	70.0
E10.Acr.cyth.1.20150627.T	7.23399	220.0	30.0
E10.Fav.abdi.1.20150629.M	11.46034	161.0	50.0
E7.17.Cyp.micr.1.20150621.T	8.72786	71.5	46.0
E7.6.Mon.aequ.1.20150620.T	7.80618	130.0	64.0
E7.6.Acr.hyac.1.20150622.T	6.27179	203.5	41.0
E1.6.Acr.sp.1.20140905.S	6.36086	122.0	64.0
E1.6.Acr.sp.1.20140905.T	2.94466	81.75	39.0
E1.10.Poc.dami.1.20140905.S	15.55423	214.565217391	135.0
E1.4.Pac.rugo.1.20140728.M	13.88644	153.25	72.0
E7.17.Hyd.exes.2.20150622.M	6.43562	65.5	40.0
E1.11.Psa.cont.1.20140730.TS	8.57137	134.5	40.0
E10.10.Sty.pist.3.20150630.M	7.0135	186.0	54.0
E10.Mon.curt.2.20150629.T	7.38867	121.6	46.0
E7.6.Acr.hyac.2.20150622.T	5.67959	90.1666666667	48.0
E3.6.Acr.hyac.1.20150106.S	8.98962	165.666666667	79.0
E10.Aca.hill.1.20150629.T	7.56394	130.666666667	48.0
E10.Alv.alli.3.20150628.S	21.70587	218.4	130.0
E7.19.Lob.hemp.2.20150619.M	30.89146	437.8	198.0
E1.17.Ech.mamm.1.20140815.T	21.66894	217.052631579	136.0
E3.15.Dip.heli.2.20150121.M	14.49671	112.5	80.0
E7.10.Ser.cali.1.20150622.S	19.31323	176.0	102.0
E3.10.Sty.pist.1.20150124.M	10.03835	221.333333333	56.0
E10.Sty.pist.1.20150628.T	5.14255	28.0	16.0
E1.4.Pac.rugo.1.20140728.S	7.13285	101.75	44.0
E1.10.Poc.dami.1.20140731.M	6.67193	52.5	25.0
E1.19.Sym.sp.1.20140815.S	13.88061	285.5	113.0
E3.15.Dip.heli.1.20150118.S	19.38205	211.333333333	86.0
E1.19.Sym.sp.1.20140814.T	15.68264	237.272727273	87.0
E10.Cyp.sera.2.20150628.S	21.92104	424.461538462	130.0
E7.17.Pla.sine.2.20150622.S	11.3981	173.090909091	79.0
E7.10.Poc.dami.3.20150621.T	19.78397	224.2	76.0
E3.6.Acr.hyac.1.20150118.M	53.27946	472.0	292.0
E7.17.Pla.sine.2.20150622.M	20.54696	282.375	123.0
E3.15.Dip.heli.2.20150121.T	31.90503	315.058823529	173.0
E3.4.Pac.rugo.1.20150128.S	12.99497	114.090909091	89.0
E3.10.Sty.pist.2.20150124.T	11.73095	248.333333333	50.0
E10.Por.hero.1.20150628.T	8.88711	37.375	26.0
E7.17.Mer.ampl.1.20150621.T	14.3274	90.0769230769	67.0
E10.Acr.pali.1.20150627.M	19.12382	182.368421053	123.0
E3.15.Dip.heli.2.20150105.M	9.80729	91.0	53.0
E3.6.Acr.hyac.1.20150118.T	24.28364	203.5	137.0
E7.6.Acr.hyac.1.20150622.M	15.48771	194.0	95.0
E3.2.Tur.reni.1.20150127.T	22.82561	216.157894737	138.0
E3.6.Acr.hyac.1.20150120.M	19.3586	199.090909091	117.0
E7.3.Por.loba.1.20150619.M	19.50987	204.8	125.0
E7.3.Por.loba.3.20150619.M	14.36645	86.6	59.0
E3.4.Pac.spec.1.20150128.M	34.30798	428.447368421	231.0
E3.15.Dip.heli.3.20150120.T	28.77086	220.64	145.0
E10.Mon.curt.1.20150629.T	11.88953	175.428571429	64.0
E10.Sty.pist.1.20150628.M	8.67743	33.5	31.0
E3.5.Gal.astr.2.20150127.M	12.26004	246.75	81.0
E3.6.Acr.hyac.2.20150105.T	6.15842	72.25	46.0
E3.15.Dip.heli.1.20150119.T	30.83109	216.222222222	155.0
E3.19.Sym.sp.2.20150125.T	12.87658	220.5	54.0
E3.14.Phy.lich.2.20150125.T	8.78439	151.5	36.0
E1.3.Por.loba.1.20140724.S	11.5621	141.2	42.0
E3.2.Tur.reni.1.20150127.M	1.82105	8.0	7.0
E10.Poc.dami.1.20150628.M	4.75932	42.2	29.0
E3.2.Tur.reni.1.20150127.S	25.37499	233.055555556	138.0
E1.19.Sym.sp.1.20140724.M	8.91447	181.0	70.0
E3.19.Sym.sp.1.20150125.T	18.20802	203.545454545	83.0
E1.3.Por.loba.1.20140726.M	14.60648	147.111111111	56.0
E7.3.Por.loba.2.20150619.S	31.17795	238.315789474	142.0
E10.Cyp.micr.1.20150627.S	33.61622	379.55	161.0
E10.10.Poc.dami.1.20150630.S	4.78778	125.0	20.0
E3.10.Sty.pist.1.20150127.S	20.52398	182.333333333	124.0
E10.Acr.cyth.3.20150627.S	3.7319	225.0	35.0
E3.3.Por.cyli.2.20150123.M	5.89416	100.2	45.0
E3.6.Acr.hyac.2.20150120.T	11.48451	147.75	69.0
E1.17.Ech.mamm.1.20140728.S	10.77282	65.5	49.0
E3.15.Dip.heli.1.20150105.M	6.84269	178.0	54.0
E3.6.Acr.hyac.4.20150106.S	8.2087	132.5	60.0
E10.Aca.hill.2.20150629.T	10.21761	156.6	51.0
E7.17.Cyp.micr.1.20150621.S	13.36887	144.2	63.0
E3.6.Acr.hyac.1.20150121.M	7.73946	73.5	28.0
E1.14.Phy.lich.1.20140801.T	12.01489	92.0	62.0
E10.10.Sty.pist.3.20150630.S	16.65853	126.5	67.0
E7.17.Cyp.micr.3.20150621.M	4.55619	72.0	32.0
E1.17.Ech.mamm.1.20140728.M	16.05954	207.0	75.0
E3.Out.Mil.sp.2.20150125.S	9.11894	140.0	52.0
E7.6.Mon.aequ.4.20150620.M	4.18811	88.5	56.0
E10.10.Sty.pist.1.20150630.S	12.45547	92.1111111111	56.0
E3.11.Fun.sp.2.20150125.S	30.24557	305.052631579	147.0
E3.10.Sty.pist.1.20150124.T	10.58352	121.0	58.0
E10.Por.hero.1.20150628.M	7.54922	67.25	29.0
E3.6.Acr.hyac.3.20150123.S	6.31779	131.6	56.0
E7.17.Hyd.exes.1.20150622.T	9.99926	95.0	45.0
E3.10.Sty.pist.2.20150124.S	12.25086	140.2	59.0
E10.Poc.dami.1.20150628.T	4.78021	39.5	17.0
E3.10.Sty.pist.1.20150127.T	8.51303	83.4285714286	44.0
E10.Ser.cali.3.20150627.S	23.81703	187.136363636	112.0
E1.10.Sty.pist.1.20140807.S	14.12489	167.857142857	62.0
E10.10.Sty.pist.2.20150630.T	4.06948	20.0	13.0
E1.17.Ech.mamm.1.20140728.T	13.96634	129.0	67.0
E10.10.Sty.pist.1.20150630.T	14.35823	126.428571429	51.0
E1.10.Poc.dami.1.20140728.S	11.11539	95.5	64.0
E10.10.Poc.dami.1.20150630.T	3.3353	13.0	8.0
E7.10.Ser.cali.3.20150622.T	11.62774	134.0	69.0
E3.3.Por.cyli.1.20150127.S	13.26757	156.1	70.0
E3.2.Tur.reni.1.20150124.S	20.41561	213.25	95.0
E3.17.Ech.horr.1.20150123.S	10.72231	106.6	56.0
E7.10.Poc.dami.1.20150621.T	16.28027	271.857142857	75.0
E7.6.Mon.aequ.2.20150620.S	15.93613	198.5	107.0
E10.Por.hero.2.20150628.T	3.2469	30.0	12.0
E1.6.Acr.humi.1.20140731.T	5.91893	65.0	35.0
E3.17.Ech.mamm.1.20150129.T	19.4815	266.333333333	89.0
E7.17.Fav.abdi.2.20150623.M	2.40004	55.0	35.0
E1.4.Pac.spec.1.20140811.S	6.49257	49.0	29.0
E1.4.Pac.spec.1.20140801.M	6.70492	60.2	33.0
E7.10.Poc.dami.2.20150621.T	19.76679	185.0	86.0
E10.17.Fav.abdi.1.20150630.T	11.76388	97.1666666667	43.0
E7.17.Fav.abdi.2.20150623.S	21.07913	213.461538462	95.0
E10.Alv.alli.1.20150628.M	4.37226	72.6666666667	41.0
E7.10.Ser.cali.3.20150622.M	12.07427	124.0	66.0
Negative.Control.3	4.37315	51.0	30.0
E1.6.Iso.pali.1.20140803.S	10.68331	177.0	78.0
E10.Ser.cali.2.20150627.M	15.46022	354.5	74.0
E7.17.Pla.sine.3.20150622.T	13.6865	194.0	84.0
E1.Out.Mil.sp.1.20140814.M	14.13598	134.375	60.0
E10.Sty.pist.1.20150628.S	17.00798	214.8	102.0
E7.10.Ser.cali.2.20150622.T	14.87985	138.125	68.0
E3.14.Phy.lich.1.20150125.S	9.73624	158.142857143	63.0
E3.19.Sym.sp.1.20150127.S	13.3888	153.2	54.0
E7.3.Por.loba.4.20150619.M	5.51967	159.5	66.0
E3.19.Sym.sp.1.20150127.T	10.76525	89.1428571429	53.0
E7.17.Fav.spC.1.20150623.M	3.15387	48.0	12.0
E1.6.Mon.hisp.1.20140807.S	7.00992	75.5	23.0
E3.14.Phy.lich.1.20150129.T	4.04542	51.0	18.0
E7.6.Acr.hyac.3.20150622.S	6.34694	206.5	44.0
E1.6.Acr.sp.1.20140726.M	10.54718	140.2	41.0
E3.6.Acr.hyac.1.20150105.T	6.82525	43.75	21.0
E10.Fav.abdi.1.20150629.S	7.42187	85.0	34.0
E3.17.Ech.mamm.1.20150129.S	6.7276	60.0	25.0
Negative.Control.2	2.42314	35.25	27.0
E10.Mon.curt.1.20150629.S	9.16736	51.0	36.0
E1.14.Phy.lich.1.20140801.M	11.22446	80.0	34.0
E10.Poc.dami.2.20150628.T	6.71223	126.0	21.0
Negative.Control.1	3.66808	77.3333333333	32.0
