Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Reef Water	Zooanthid Mucus	697.5	37.5	291.5	176.5	2.25005865434	0.671305555556
Unknown	Zooanthid Skeleton	100.142857143	95.9128005332	111.0	47.0	-0.13657541858	1.0
Millepora Skeleton	Zooanthid Skeleton	82.0	30.0	111.0	47.0	-0.520100937824	0.882926605505
Coral Mucus	Unknown	119.004739336	97.1846094748	100.142857143	95.9128005332	0.503071298159	0.987161290323
Coral Mucus	Alcyonacea Tissue	119.004739336	97.1846094748	E1.Out.Lob.sp.1.20140803.T	0.0	0.778270792115	0.870434782609
Reef Sediment	Millepora Tissue	677.0	45.2437841035	64.0	14.0	16.9365452465	0.25025
Heliopora Skeleton	Zooanthid Skeleton	E1.Out.Hel.coer.1.20140811.S	0.0	111.0	47.0	5.08559598818	0.653714285714
Alcyonacea Mucus	Heliopora Skeleton	E1.Out.Lob.sp.1.20140803.M	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Unknown	Heliopora Mucus	100.142857143	95.9128005332	E1.Out.Hel.coer.1.20140811.M	0.0	1.68718911025	0.481962962963
Heliopora Tissue	Reef Sediment	E1.Out.Hel.coer.1.20140811.T	0.0	677.0	45.2437841035	-4.50278098945	0.451
Heliopora Mucus	Alcyonacea Skeleton	E1.Out.Hel.coer.1.20140811.M	0.0	E1.Out.Lob.sp.1.20140803.S	0.0	None	None
Millepora Tissue	Reef Water	64.0	14.0	697.5	37.5	-15.8263759888	0.706462686567
Millepora Tissue	Coral Skeleton	64.0	14.0	210.051886792	170.491138889	-1.20577864668	0.687761904762
Zooanthid Tissue	Millepora Skeleton	391.5	222.5	82.0	30.0	1.37853710074	0.791431034483
Reef Water	Coral Skeleton	697.5	37.5	210.051886792	170.491138889	4.0234956705	0.0317777777778
Reef Water	Whole Coral	697.5	37.5	E1.11.Psa.cont.1.20140730.TS	0.0	-10.1228747198	0.778016949153
