Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Competitive	Stress-tolerant	69.4342105263	42.2253776046	224.653846154	174.886126095	-7.64949238883	0.015
Unknown	not_applicable	165.189054726	138.953817016	681.1	44.5655696699	-11.6554151831	0.0075
Unknown	Competitive	165.189054726	138.953817016	69.4342105263	42.2253776046	5.88397738212	0.005
Competitive	Generalist	69.4342105263	42.2253776046	118.212765957	72.2003524982	-4.68748941825	0.00375
Weedy	Generalist	83.3432835821	65.3332564257	118.212765957	72.2003524982	-2.66161261284	0.00923076923077
Stress-tolerant	Weedy	224.653846154	174.886126095	83.3432835821	65.3332564257	6.47816926233	0.003
Stress-tolerant	Generalist	224.653846154	174.886126095	118.212765957	72.2003524982	4.0963235654	0.0025
Competitive	not_applicable	69.4342105263	42.2253776046	681.1	44.5655696699	-42.2796337436	0.00214285714286
Unknown	Weedy	165.189054726	138.953817016	83.3432835821	65.3332564257	4.63550662911	0.001875
Unknown	Generalist	165.189054726	138.953817016	118.212765957	72.2003524982	2.23874984263	0.0321428571429
Unknown	Stress-tolerant	165.189054726	138.953817016	224.653846154	174.886126095	-3.94322493913	0.00166666666667
not_applicable	Generalist	681.1	44.5655696699	118.212765957	72.2003524982	23.2916634109	0.0015
Stress-tolerant	not_applicable	224.653846154	174.886126095	681.1	44.5655696699	-8.21255040863	0.00136363636364
Competitive	Weedy	69.4342105263	42.2253776046	83.3432835821	65.3332564257	-1.51806151671	0.153
not_applicable	Weedy	681.1	44.5655696699	83.3432835821	65.3332564257	27.6118642369	0.00125
